Temperature,Wind,Weather,Court Condition,Court,Humidity,Will Play
Mild,High,Rainy,Grassy,Open Air,Mild,No
Mild,High,Overcast,Clay,Open Air,High,No
High,Mild,Overcast,Grassy,Open Air,Low,Yes
Low,Low,Sunny,Clay,Open Air,Low,Yes
High,Low,Sunny,Grassy,Enclosed Environment,High,No
Low,Mild,Overcast,Cemented,Enclosed Environment,High,No
Mild,High,Rainy,Cemented,Enclosed Environment,Low,Yes
Mild,High,Sunny,Cemented,Open Air,High,No
Mild,Low,Sunny,Cemented,Open Air,High,No
High,Mild,Overcast,Cemented,Enclosed Environment,Low,Yes
Mild,Mild,Overcast,Clay,Enclosed Environment,High,No
Mild,Mild,Overcast,Cemented,Enclosed Environment,Mild,Yes
Low,Mild,Rainy,Grassy,Open Air,High,No
High,Mild,Sunny,Cemented,Open Air,Mild,Yes
High,Low,Sunny,Cemented,Enclosed Environment,Low,Yes
High,Mild,Overcast,Grassy,Enclosed Environment,Low,Yes
Mild,Low,Rainy,Clay,Open Air,Low,No
High,Low,Sunny,Cemented,Enclosed Environment,Mild,Yes
High,High,Sunny,Cemented,Enclosed Environment,Low,Yes
Low,High,Rainy,Grassy,Enclosed Environment,Mild,No
Mild,Low,Overcast,Grassy,Enclosed Environment,High,No
Low,Mild,Rainy,Grassy,Open Air,High,No
Low,Low,Rainy,Grassy,Enclosed Environment,Mild,Yes
Mild,High,Sunny,Cemented,Enclosed Environment,Mild,Yes
Mild,High,Rainy,Cemented,Enclosed Environment,Low,Yes
Mild,Low,Sunny,Cemented,Enclosed Environment,Mild,Yes
Low,Mild,Sunny,Grassy,Open Air,Low,Yes
High,High,Rainy,Grassy,Enclosed Environment,High,No
Low,Low,Overcast,Cemented,Enclosed Environment,Mild,Yes
High,Low,Rainy,Cemented,Open Air,Low,No
Low,High,Rainy,Clay,Open Air,Mild,No
Mild,High,Sunny,Grassy,Open Air,High,No
Mild,Low,Rainy,Cemented,Open Air,Low,No
Mild,Low,Rainy,Grassy,Enclosed Environment,Low,Yes
High,Mild,Overcast,Grassy,Open Air,Mild,Yes
High,High,Sunny,Clay,Enclosed Environment,Mild,Yes
High,High,Sunny,Grassy,Open Air,Low,Yes
Mild,High,Overcast,Grassy,Open Air,High,No
Low,Low,Overcast,Clay,Enclosed Environment,Low,Yes
Low,Low,Rainy,Cemented,Open Air,Mild,No
Mild,High,Overcast,Cemented,Open Air,High,No
Low,Low,Overcast,Clay,Enclosed Environment,Mild,Yes
High,Low,Overcast,Clay,Open Air,High,No
Mild,Low,Overcast,Clay,Open Air,High,No
High,Mild,Overcast,Clay,Enclosed Environment,High,No
Mild,Low,Rainy,Cemented,Enclosed Environment,Low,Yes
Low,Mild,Sunny,Clay,Open Air,Low,Yes
High,Mild,Overcast,Clay,Open Air,Low,Yes
Mild,High,Overcast,Grassy,Open Air,Low,Yes
Low,Mild,Rainy,Clay,Enclosed Environment,Mild,Yes
Low,Low,Overcast,Clay,Enclosed Environment,Mild,Yes
High,Mild,Rainy,Grassy,Open Air,High,No
Low,Low,Sunny,Clay,Enclosed Environment,Mild,Yes
High,Mild,Overcast,Clay,Enclosed Environment,High,No
Low,Mild,Rainy,Cemented,Open Air,Low,No
Mild,High,Sunny,Grassy,Enclosed Environment,Low,Yes
High,High,Rainy,Clay,Open Air,High,No
High,Low,Overcast,Clay,Enclosed Environment,High,No
Low,High,Rainy,Grassy,Open Air,High,No
High,Low,Sunny,Cemented,Open Air,Mild,Yes
High,High,Overcast,Cemented,Enclosed Environment,Mild,Yes
High,High,Sunny,Clay,Open Air,Low,Yes
Low,Low,Overcast,Cemented,Open Air,High,No
Low,Low,Overcast,Grassy,Open Air,High,No
High,Mild,Overcast,Clay,Enclosed Environment,Mild,Yes
High,Mild,Overcast,Grassy,Enclosed Environment,High,No
Low,Mild,Overcast,Grassy,Enclosed Environment,Mild,Yes
Low,High,Overcast,Clay,Enclosed Environment,Mild,No
Low,High,Rainy,Grassy,Enclosed Environment,Low,No
High,High,Overcast,Grassy,Open Air,Low,Yes
High,High,Sunny,Clay,Open Air,Low,Yes
High,High,Overcast,Clay,Enclosed Environment,Low,Yes
Mild,High,Overcast,Cemented,Enclosed Environment,Mild,Yes
Low,High,Rainy,Clay,Enclosed Environment,High,No
High,Low,Overcast,Clay,Enclosed Environment,Low,Yes
Low,Mild,Sunny,Cemented,Enclosed Environment,High,No
Low,Mild,Sunny,Cemented,Enclosed Environment,High,No
High,Mild,Sunny,Clay,Open Air,Mild,Yes
High,High,Overcast,Clay,Enclosed Environment,High,No
Mild,Low,Rainy,Cemented,Enclosed Environment,Mild,Yes
High,High,Rainy,Clay,Open Air,High,No
High,High,Sunny,Cemented,Enclosed Environment,Mild,Yes
Mild,High,Rainy,Clay,Enclosed Environment,Mild,Yes
Low,High,Overcast,Cemented,Open Air,Low,No
Low,Low,Sunny,Cemented,Open Air,Mild,Yes
Mild,Low,Sunny,Grassy,Open Air,Mild,Yes
Low,High,Sunny,Clay,Open Air,High,No
Mild,High,Overcast,Grassy,Enclosed Environment,Low,Yes
Mild,Mild,Overcast,Cemented,Open Air,Low,Yes
Mild,Low,Sunny,Grassy,Open Air,Mild,Yes
High,Mild,Rainy,Clay,Open Air,High,No
High,Mild,Sunny,Clay,Open Air,Mild,Yes
Mild,Mild,Sunny,Grassy,Enclosed Environment,Mild,Yes
Low,Mild,Sunny,Cemented,Open Air,Mild,Yes
High,High,Sunny,Grassy,Enclosed Environment,Mild,Yes
High,Mild,Sunny,Clay,Enclosed Environment,Mild,Yes
Low,High,Rainy,Clay,Open Air,Mild,No
Low,High,Rainy,Clay,Open Air,High,No
Low,Low,Rainy,Cemented,Enclosed Environment,Low,Yes
Low,High,Sunny,Grassy,Open Air,High,No
Mild,Mild,Sunny,Grassy,Open Air,Mild,Yes
High,Mild,Sunny,Grassy,Open Air,Low,Yes
High,Low,Sunny,Clay,Open Air,Mild,Yes
Low,Low,Sunny,Grassy,Open Air,High,No
High,Mild,Overcast,Clay,Enclosed Environment,Mild,Yes
High,High,Overcast,Grassy,Open Air,High,No
Mild,High,Sunny,Cemented,Open Air,High,No
Low,Low,Overcast,Grassy,Enclosed Environment,Low,Yes
Mild,High,Overcast,Cemented,Enclosed Environment,High,No
Low,Low,Rainy,Clay,Enclosed Environment,High,No
High,Low,Overcast,Clay,Open Air,Mild,Yes
Low,Mild,Rainy,Grassy,Enclosed Environment,Mild,Yes
Mild,Mild,Overcast,Clay,Enclosed Environment,High,No
High,Low,Sunny,Clay,Open Air,High,No
Low,High,Rainy,Clay,Open Air,Mild,No
High,Low,Overcast,Clay,Open Air,Mild,Yes
Mild,Low,Rainy,Clay,Open Air,Mild,No
Low,High,Overcast,Grassy,Enclosed Environment,High,No
High,Mild,Sunny,Clay,Open Air,Mild,Yes
Low,Mild,Sunny,Cemented,Open Air,Mild,Yes
